query_id	doc_id	doc_score
1       	51    	4.589    
1       	486   	4.549    
1       	329   	4.162    
1       	184   	3.921    
1       	573   	3.682    
1       	14    	3.656    
1       	12    	3.5      
1       	78    	3.447    
1       	944   	3.302    
1       	202   	3.232    
1       	453   	3.161    
1       	665   	3.13     
1       	878   	3.119    
1       	746   	2.793    
1       	729   	2.787    
1       	1194  	2.768    
1       	685   	2.69     
1       	13    	2.65     
1       	1034  	2.642    
1       	56    	2.598    
1       	332   	2.587    
1       	141   	2.536    
1       	359   	2.52     
1       	792   	2.513    
1       	414   	2.483    
1       	811   	2.465    
1       	160   	2.45     
1       	29    	2.386    
1       	781   	2.386    
1       	220   	2.374    
1       	879   	2.374    
1       	305   	2.35     
1       	1144  	2.345    
1       	719   	2.341    
1       	1066  	2.331    
1       	1340  	2.321    
1       	1186  	2.317    
1       	875   	2.297    
1       	1263  	2.267    
1       	1072  	2.258    
1       	663   	2.258    
1       	1198  	2.248    
1       	625   	2.248    
1       	1328  	2.235    
1       	576   	2.191    
1       	747   	2.189    
1       	252   	2.187    
1       	219   	2.181    
1       	491   	2.181    
1       	300   	2.163    
1       	1246  	2.154    
1       	195   	2.15     
1       	240   	2.096    
1       	456   	2.096    
1       	1361  	2.084    
1       	1163  	2.076    
1       	311   	2.071    
1       	435   	2.06     
1       	1169  	2.021    
1       	253   	2.021    
1       	1113  	2.009    
1       	1125  	2.009    
1       	601   	2.009    
1       	526   	2.003    
1       	328   	1.998    
1       	495   	1.992    
1       	721   	1.967    
1       	726   	1.967    
1       	1300  	1.966    
1       	315   	1.96     
1       	1212  	1.945    
1       	584   	1.945    
1       	364   	1.922    
1       	1040  	1.909    
1       	572   	1.891    
1       	1201  	1.888    
1       	284   	1.886    
1       	1331  	1.886    
1       	1332  	1.886    
1       	1334  	1.886    
1       	390   	1.886    
1       	1167  	1.867    
1       	1064  	1.856    
1       	101   	1.837    
1       	33    	1.825    
1       	84    	1.825    
1       	89    	1.825    
1       	216   	1.825    
1       	293   	1.825    
1       	859   	1.822    
1       	876   	1.819    
1       	206   	1.805    
1       	235   	1.805    
1       	1325  	1.805    
1       	592   	1.805    
1       	1380  	1.803    
1       	497   	1.803    
1       	1268  	1.801    
1       	817   	1.79     
1       	75    	1.786    
1       	1170  	1.786    
1       	908   	1.786    
1       	415   	1.768    
1       	1128  	1.761    
1       	640   	1.761    
1       	874   	1.748    
1       	1219  	1.742    
1       	542   	1.74     
1       	585   	1.725    
1       	563   	1.721    
1       	818   	1.721    
1       	1061  	1.716    
1       	50    	1.716    
1       	306   	1.716    
1       	1335  	1.716    
1       	100   	1.706    
1       	1003  	1.696    
1       	25    	1.671    
1       	976   	1.669    
1       	629   	1.64     
1       	1244  	1.634    
1       	1149  	1.633    
1       	658   	1.632    
1       	209   	1.624    
1       	914   	1.624    
1       	1168  	1.618    
1       	1121  	1.613    
1       	165   	1.613    
1       	1261  	1.613    
1       	261   	1.613    
1       	1372  	1.613    
1       	541   	1.613    
1       	172   	1.61     
1       	251   	1.61     
1       	925   	1.61     
1       	62    	1.609    
1       	1305  	1.609    
1       	1051  	1.582    
1       	345   	1.582    
1       	416   	1.582    
1       	917   	1.582    
1       	94    	1.564    
1       	110   	1.557    
1       	1165  	1.556    
1       	1166  	1.556    
1       	884   	1.556    
1       	294   	1.555    
1       	283   	1.548    
1       	1028  	1.544    
1       	1048  	1.544    
1       	1050  	1.544    
1       	35    	1.544    
1       	1065  	1.544    
1       	157   	1.544    
1       	1202  	1.544    
1       	1232  	1.544    
1       	1304  	1.544    
1       	1327  	1.544    
1       	1365  	1.544    
1       	1389  	1.544    
1       	404   	1.544    
1       	472   	1.544    
1       	529   	1.544    
1       	649   	1.544    
1       	728   	1.544    
1       	762   	1.544    
1       	964   	1.544    
1       	522   	1.536    
1       	1037  	1.513    
1       	97    	1.513    
1       	871   	1.513    
1       	349   	1.507    
1       	635   	1.5      
1       	686   	1.493    
1       	638   	1.492    
1       	1191  	1.487    
1       	798   	1.487    
1       	102   	1.48     
1       	800   	1.474    
1       	717   	1.462    
1       	1042  	1.458    
1       	47    	1.458    
1       	1197  	1.458    
1       	883   	1.458    
1       	272   	1.452    
1       	431   	1.452    
1       	197   	1.449    
1       	799   	1.449    
1       	292   	1.439    
1       	156   	1.438    
1       	546   	1.436    
1       	77    	1.418    
1       	1213  	1.418    
1       	244   	1.418    
1       	1026  	1.415    
1       	1196  	1.415    
1       	208   	1.415    
1       	1254  	1.415    
1       	1298  	1.415    
1       	370   	1.415    
1       	525   	1.415    
1       	630   	1.415    
1       	951   	1.415    
1       	960   	1.415    
1       	123   	1.396    
1       	280   	1.387    
1       	354   	1.387    
1       	464   	1.387    
1       	801   	1.387    
1       	860   	1.387    
1       	455   	1.386    
1       	634   	1.386    
1       	755   	1.386    
1       	1200  	1.381    
1       	683   	1.381    
1       	23    	1.356    
1       	27    	1.356    
1       	44    	1.356    
1       	1106  	1.356    
1       	96    	1.356    
1       	204   	1.356    
1       	1271  	1.356    
1       	262   	1.356    
1       	267   	1.356    
1       	1310  	1.356    
1       	560   	1.356    
1       	565   	1.356    
1       	623   	1.351    
1       	144   	1.331    
1       	53    	1.328    
1       	1114  	1.328    
1       	1155  	1.328    
1       	174   	1.328    
1       	1218  	1.328    
1       	314   	1.328    
1       	513   	1.328    
1       	709   	1.328    
1       	927   	1.328    
1       	45    	1.317    
1       	80    	1.317    
1       	120   	1.317    
1       	1338  	1.317    
1       	20    	1.309    
1       	28    	1.309    
1       	72    	1.309    
1       	73    	1.309    
1       	1101  	1.309    
1       	1110  	1.309    
1       	124   	1.309    
1       	177   	1.309    
1       	1236  	1.309    
1       	304   	1.309    
1       	309   	1.309    
1       	1336  	1.309    
1       	1375  	1.309    
1       	519   	1.309    
1       	538   	1.309    
1       	757   	1.309    
1       	812   	1.309    
1       	904   	1.309    
1       	1007  	1.309    
1       	620   	1.299    
1       	628   	1.299    
1       	1089  	1.279    
1       	76    	1.279    
1       	1239  	1.279    
1       	237   	1.279    
1       	245   	1.279    
1       	374   	1.279    
1       	724   	1.279    
1       	725   	1.279    
1       	791   	1.279    
1       	804   	1.279    
1       	810   	1.279    
1       	836   	1.279    
1       	882   	1.279    
1       	909   	1.279    
1       	911   	1.279    
1       	948   	1.279    
1       	1012  	1.279    
1       	92    	1.271    
1       	95    	1.271    
1       	667   	1.271    
1       	759   	1.271    
1       	991   	1.271    
1       	982   	1.261    
1       	1147  	1.256    
1       	1393  	1.235    
1       	606   	1.235    
1       	493   	1.232    
1       	30    	1.217    
1       	1077  	1.217    
1       	1151  	1.217    
1       	1180  	1.217    
1       	168   	1.217    
1       	225   	1.217    
1       	1255  	1.217    
1       	1315  	1.217    
1       	338   	1.217    
1       	1374  	1.217    
1       	366   	1.217    
1       	520   	1.217    
1       	536   	1.217    
1       	645   	1.217    
1       	675   	1.217    
1       	690   	1.217    
1       	790   	1.217    
1       	795   	1.217    
1       	880   	1.217    
1       	193   	1.216    
1       	57    	1.207    
1       	327   	1.207    
1       	494   	1.207    
1       	540   	1.207    
1       	707   	1.183    
1       	566   	1.171    
1       	104   	1.161    
1       	140   	1.161    
1       	147   	1.161    
1       	192   	1.161    
1       	232   	1.161    
1       	657   	1.161    
1       	1346  	1.154    
1       	1164  	1.149    
1       	82    	1.14     
1       	142   	1.14     
1       	274   	1.14     
1       	981   	1.14     
1       	24    	1.117    
1       	1279  	1.117    
1       	342   	1.117    
1       	378   	1.117    
1       	553   	1.117    
1       	666   	1.117    
1       	1002  	1.117    
1       	423   	1.102    
1       	999   	1.102    
1       	180   	1.088    
1       	1235  	1.088    
1       	218   	1.088    
1       	577   	1.088    
1       	733   	1.088    
1       	928   	1.088    
1       	36    	1.081    
1       	85    	1.081    
1       	1250  	1.081    
1       	1282  	1.081    
1       	302   	1.081    
1       	352   	1.081    
1       	406   	1.081    
